
5			0	0	
			1	2	
			703.6000	703.6000	
			184.2000	264.4000	
454	23.7425	-6.44297	1679034.0000	5320.0000	1	454
455	23.7925	-6.44297	3260456.0000	4973.0000	1	455
456	23.8425	-6.44297	3387218.0000	5032.0000	1	456
457	23.8925	-6.44297	2502812.0000	4915.0000	1	457
458	23.9425	-6.44297	2911048.0000	4194.0000	1	458
459	23.9925	-6.44297	3597378.0000	5400.0000	1	459
460	24.0425	-6.44297	2597612.0000	1526.0000	1	460
461	24.0925	-6.44297	690220.0000	702.0000	1	461
462	24.1425	-6.44297	880142.0000	6288.0000	1	462
463	24.1925	-6.44297	3376106.0000	3507.0000	1	463
464	24.2425	-6.44297	2793600.0000	3278.0000	1	464
465	24.2925	-6.44297	2971336.0000	8849.0000	1	465
466	24.3425	-6.44297	2926062.0000	8905.0000	1	466
467	24.3925	-6.44297	2880790.0000	2997.0000	1	467
468	24.4425	-6.44297	2067854.0000	7785.0000	1	468
469	24.4925	-6.44297	3213468.0000	4448.0000	1	469
470	24.5425	-6.44297	2433838.0000	5314.0000	1	470
471	24.5925	-6.44297	1849574.0000	1414.0000	1	471
472	24.6425	-6.44297	1796007.0000	6295.0000	1	472
473	24.6925	-6.44297	2780640.0000	8064.0000	1	473
474	24.7425	-6.44297	1933280.0000	5279.0000	1	474
475	24.7925	-6.44297	1085919.0000	2491.0000	1	475
476	24.8425	-6.44297	1782083.0000	5038.0000	1	476
477	24.8925	-6.44297	2512916.0000	5523.0000	1	477
478	24.9425	-6.44297	2472342.0000	2125.0000	1	478
479	24.9925	-6.44297	3486080.0000	5688.0000	1	479
480	25.0425	-6.44297	2723342.0000	4770.0000	1	480
481	25.0925	-6.44297	1960604.0000	3853.0000	1	481
482	25.1425	-6.44297	3298196.0000	6820.0000	1	482
483	25.1925	-6.44297	4988492.0000	6293.0000	1	483
484	25.2425	-6.44297	4298656.0000	5766.0000	1	484
485	25.2925	-6.44297	4353296.0000	6736.0000	1	485
486	25.3425	-6.44297	3797746.0000	6014.0000	1	486
487	25.3925	-6.44297	3310524.0000	6234.0000	1	487
488	25.4425	-6.44297	3534192.0000	5712.0000	1	488
489	25.4925	-6.44297	3437222.0000	4978.0000	1	489
490	25.5425	-6.44297	3465316.0000	6182.0000	1	490
491	25.5925	-6.44297	3493412.0000	5450.0000	1	491
